screen_name,upper_letter_count,upper_ratio,followers_count,friends_count,bio_pronouns_count,bio_NNP_tags,bio_PRP_tags,bio_Yes_freq_terms,bio_No_freq_terms,bio_auto_Yes_freq_terms,bio_auto_No_freq_terms,class
@Michigan_bellee,1,0.0625,1410,1128,0,20,0,2,0,5,4,n
@MadamePrez4Ted2,3,0.1875,1408,2092,2,2,1,0,0,10,1,y
@leahbridges82,0,0.0,1397,2035,2,0,1,1,0,1,5,n
@angharad1963,0,0.0,1394,2303,3,1,2,0,0,5,8,n
@MmayburyrnMary,2,0.13333333333333333,1384,4404,3,2,1,0,1,5,2,y
@bone_sharon,0,0.0,1378,1711,0,0,0,0,1,9,0,y
@Yvibrantessence,1,0.0625,1376,72,2,2,1,0,0,6,3,n
@TheMamatova,2,0.16666666666666666,1368,3553,0,16,0,0,0,15,1,y
@wrinklerecovery,0,0.0,1359,4965,0,2,0,0,0,7,2,y
@sherry4201,0,0.0,1355,1510,0,5,0,0,0,3,0,y
@_poppunkGF,2,0.18181818181818182,1355,574,0,2,0,0,0,0,5,n
@clouim531,0,0.0,1341,4624,0,9,0,0,0,10,1,y
@Frostyblonde01_,1,0.0625,1337,952,2,6,0,1,0,6,0,y
@Lefty0971,1,0.1,1321,188,0,13,0,0,0,7,0,y
@elmejo10,0,0.0,1320,2009,0,6,0,0,1,5,7,n
@BluebellBw,2,0.18181818181818182,1318,1301,1,1,0,0,0,12,1,y
@The_FFBC,5,0.5555555555555556,1315,206,0,19,0,0,0,4,12,n
@nursingdiva2016,0,0.0,1314,1030,1,16,1,0,0,3,1,y
@kennygibsonnhs,0,0.0,1313,1165,0,3,0,0,0,12,0,y
@njlakic,0,0.0,1312,983,2,0,1,1,0,10,0,y
@Rn4momChelle,2,0.15384615384615385,1308,1318,2,3,0,3,1,3,4,n
@KenKenhall65,2,0.15384615384615385,1307,1844,2,1,2,0,0,11,0,y
@DeannePccn,2,0.18181818181818182,1299,1539,0,2,0,1,0,3,0,y
@LVFRN7,5,0.7142857142857143,1299,2122,2,12,0,2,0,11,1,y
@aubriana_donato,0,0.0,1298,1762,0,1,0,0,0,0,0,n
